User,Rating,Date,ISO_Date,Review,Review_Length,Response
Ayinun Aulia,5.0,seminggu lalu,2025-07-07T10:52:24Z,"tempatnya enakeun bersih, pelayan juga selalu ramah kalo mau minta tolong, paling penting mienya enak bangettt untuk anak kosan sangat recommended 🫶🏻🤗",150,
Vantae,1.0,2 bulan lalu,2025-05-09T12:48:48Z,"PELAYANAN SANGAT BURUK!!!!
padahal saya merasa dateng jauh lebih dulu dari costumer yang lain!

saya dulu yang memesan tapi yang alarm nya bunyi duluan bocah bocah yang datangnya duluan dari saya yang mana jeda waktunya sangat lama!

untung saja  teman saya yang  punya asam lambung ga kambuh aslamnya karena telat makan!",321,
Nur Anissa Rahmayani,5.0,3 bulan lalu,2025-04-01T10:57:33Z,"Makanannya enak dan murah
Pelayanannya cepat dan pada ramah
Makanan juga disajikannya masih hangat
Tempatnya enak, sejuk, ada area terbuka dan ada kipas angin",158,
Yutika Lasaopa,1.0,2 minggu lalu,2025-07-02T06:08:26Z,"Pelayanan nyaaa lamaa bgtttt, tingkat kelevellan nya masaa bisa ketuker checker  nya ga telitii mana jutek” semuaaa dipintain tolong jugaaa , padahal ga terlalu rameee",167,
Nanda Selvitasari,5.0,Diedit seminggu lalu,2025-03-24T06:10:02Z,"tempatnya luas dan bersih bgtt enak buat kumpul bareng temen, pelayanannya juga cepett, ada mushola buat sholat jugaaaaaaaa",123,
Intan Cinta,5.0,2 minggu lalu,2025-06-28T07:03:56Z,Tempatnya nyaman dan enak cocok buat nongkrong sama teman-teman,63,
Salsabila Miyazumi,5.0,seminggu lalu,2025-07-03T06:10:31Z,"Selalu pesan mie gacoan level 1. Maknan enak, hangat, bersahabat",64,
Sri Wahyuni,5.0,seminggu lalu,2025-07-03T08:33:32Z,"suasana enak ga terlalu ramai dan tidak antri, pelayanannya bagus",65,
My Bee,4.0,setahun lalu,2024-04-14T13:49:43Z,"Bismillah

Ceritanya, lagi lebaran di Daarut Tauhiid.
Trus saat menjelang siang hari, perut keroncongan. Ya udah deh, cari - cari warung yg buka tuk makan siang.
Qodarullah nya, sepanjang jalan dari mesjid DT hingga jalan Setiabudi, yg buka hanya warteg Bahari. Namun temenku tetep mau nya, makan mie Gacoan.
Ya udah deh, kita lanjut jalan sampe Mie Gacoan. Alhamdulillah, gak ngantri 😂.
Setelah order & bayar, kami pun cari tempat yg aemi outdoor, yaitu bagian samping.

🌸Review :🌸
🐝Harga 5⭐
➡️muraaaaahh bgt, tuk standar kafe dgn tempat yg bagus, porsi makanan yg bikin kenyang, rasa yg oke, pelayanan yg oke pula

🐝suasana 4.8⭐
➡️cozy bgt, cocok buat nongkrong meskipun tanpa AC karena udara Bandung masih sejuk. Truz konsepnya semi outdoor dgn interior yg estetik buat fhoto ala²

🐝Pelayanan nya 4.5⭐
➡️ cukup membantu customer

🐝Rasa 4.5⭐
➡️ Mie Gacoan rasanya manis pedes, sedikit lembek tapi tidak nyemek.
➡️Mie Hompimpa rasanya gurih pedes.
➡️Lumpia udangnya enak bgt 😍
➡️Udang keju juga enak

🐝Lokasi 5⭐
➡️ dekat bgt ma kampus Unpas, NHI Bandung, Upi & juga mesjid Daarut Tauhiid
➡️Posisi sebelah kiri dari arah kota Bandung

🐝Fasilitas 4.5⭐
➡️ parkiran luas
➡️Ada toilet, wastafel, tempat duduk yg banyak
➡️Mushola (keliatannya ada, kemaren gak liat² toiletnya)
➡️Kursi untuk anak
➡️Kebersihan juga oke

Semoga bermanfaat review dari ku",1346,
Khazanah Fadhilah N,4.0,9 bulan lalu,2024-10-11T07:12:28Z,"Perintis restoran Mie Gacoan pertama setahu saya ya yang di Setiabudi sebelah UNPAS ini. Parkir bisa untuk 100 motor lebih, entah mobil karena pasarnya anak muda. Rasa tetap sama enaknya, tapi untuk udang rambutan terlalu keras adonannya. Tersedia area lantai 2 yang lebih private dekat dengan mushala. Pesan dan bayar dahulu lalu dibeli bel pager semacamnya, setelah bunyi ambil pesanan sendiri ke meja. Ada paket hemat 50K untuk dua orang plus lemontea cukup memudahkan. Bisa bayar pakai QRIS.",495,
Ciptaning Qurrota A'yun,1.0,setahun lalu,2024-06-25T09:39:12Z,"❌NOT RECOMENDED❌
makanannya bener bener engga mienya ada cabe busuk, udang kejunya kopong dan pait, siomaynya rasa freezer, pangsitnya pahit.. uda gitu toiletnya bau pesing… Mohon ditingkatin lagi untuk makanan dan fasilitasnya🙏🙏",229,
Wisnu Herliansah,5.0,2 bulan lalu,2025-05-11T08:27:16Z,"GOOD. Suasana gacoannya enak beda dari yang lain, makanannya so far good",72,
Awad Wahdi,5.0,2 minggu lalu,2025-07-01T03:56:38Z,Mienya mantap rasa dan kualitasnya mantap tingkat kepedasannya bisa disesuaikan dan yg terpenting tempatnya nyaman cocok utk kumpul bareng keluarga&teman,153,
fadila rahma,5.0,sebulan lalu,2025-06-10T15:40:12Z,"selalu enak, pelayanannya ramah, ga pernah bosen sama gacoan apalagi 24 jam 😍😍",78,
Thya Aristha,4.0,Diedit setahun lalu,2023-09-16T12:06:11Z,"Harga sangat sangat affordable & enak-enak semua. Bisa utk semua kalangan bahkan anak pelajar. Recommended. Buat parkir mobil agak susah ya jadi harus pinter2 cari parkir sendiri. Mereka hanya menyediakan parkir motor aja.
Harga menu mulai dari 9000
Porsi banyak, level 3 nya pedes banget buat saya.
Suasana nyaman, cocok buat kumpul2",334,
fitri puspitasari,5.0,11 bulan lalu,2024-08-14T19:15:05Z,"Tempatnya nyaman . Pas dateng kesitu lagi cukup rame, tapi makanan ga terlalu lama datengnya . Oia, kalo mau gacoan lebih pilih dine in langsung daripada takeaway via online food, suka ada aja kurang atau salahnya kalo order via online disini 😅🤣",245,
Loris Suis,1.0,4 bulan lalu,2025-02-19T08:39:19Z,Mie gacoan paling kotor se indonesia. Meja tidak di bersihkan. Pelayanan tidak ramah. Pecat aja pegawainya,106,
Aryani Zul,5.0,6 hari lalu,2025-07-10T09:59:54Z,"tempatnya nyaman dan bersih, makanannya juga enak dan masih panas, gaada yg basi atau dingin. Ditambah harganya juga murah",122,
Destya Adinda,5.0,2 minggu lalu,2025-07-01T09:27:05Z,"Makanannyaa enak semuaa, pelayanann 10000000 ter thebest banget sih suasananyaa punn enakk wajib banget kalian cobaa sihh,,",123,
Daffa Putri,4.0,setahun lalu,2024-06-28T07:50:45Z,"Overall oke, udah pake alat jugaa jadi kalau pesanannua udh jadi alatnya akan bunyi, pilihan tempat duduknya banyak bangett, ada outdoor juga
Untuk makanannya paling recomended udang keju, minumannya aku pesen yg teklek rada terlalu manis yaa, untuk mie gaciannya juga level 1 tapi pedes bangett
Kalo pilih tempat duduk yg agak pojok ada stop kontak
Westafle juga bersihh
U",373,
Annisa Puzianti,3.0,setahun lalu,2024-04-23T00:23:31Z,"jujur saya jarang bnget kasi bintang kurang dari 3 kecuali udh bener2 bad experience bnget🥲

untuk mie gacoan setiabudi ini saya kasi 3 sepertinya, pengalamannya agak kurang menyenangkan dibandingkan gacoan yg dipatiukur menurut saya, kemarin saya makan disini, meja terpantau belum di clear up sehingga saya makan berdampingan dengan piring dan bekas makan yg kotor juga meja yg basah bekas minuman sampai saya selesai makan, ternyata ada bonus serangga juga di mie saya🥲

saya udh laper jadi emng gak mau dibawa ribet aja, tapi saya udh minta tolong ke beberapa crew untuk clear up table saya tersebut tapi ternyata nihil, ada karyawan yg keliling clear up tapi kenapa table saya di skip ya😣

untuk cashier, hospitality nya bisa lebih ditingkatkan lgi dengan smile voice dan tingkat kefokusannya, buat impresi yg bagus

ada half self service untuk pengambilan dimsum dan minuman yg menggunakan alarm, tetapi kasian pacar saya mau ambil tidak ada yg melayani🥲 menghindari resiko tertukarnya produk karena tidak sepenuhnya customer mie gacoan itu sendiri sudah benar2 tau produknya yg mana mana nya

untuk service time makanan cukup cepat itu plus nya☺️ semoga bisa belajar selalu yaaa
terimakasihhh",1199,
Hendry Kurnia,1.0,seminggu lalu,2025-07-08T03:42:00Z,"masa gacoan setiabudhi gada tisue,gada pengering tangan
kucing naik meja pas org lg makan,karyawan cuma pada liatin aja bagian udh teriak baru di ambil aneh banget !",165,
manajemen pemasaran,5.0,6 bulan lalu,2024-12-25T11:43:05Z,"Konsep tempatnya lebih enak dari yang cabang lain, kebersihannya juga oke, pegawainya juga kerja sesuai job masing masing, rekomended buat kumpul bareng temen / keluarga",169,
